,Unnamed: 0,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
201,276346,2017-02-15 12:55:00,2017-02-15 12:59:00,238.814,Towers Crescent Dr & Tysons One Pl,Tysons One Pl & Chain Bridge Rd,Subscriber
202,697686,2017-04-05 05:14:53,2017-04-05 05:26:05,671.293,17th & K St NW / Farragut Square,North Capitol St & F St NW,Subscriber
203,1621339,2017-06-21 08:36:55,2017-06-21 09:24:03,2828.269,21st St & Constitution Ave NW,New York Ave & 15th St NW,Customer
204,1691109,2017-06-26 09:30:28,2017-06-26 09:42:15,707.102,M St & Pennsylvania Ave NW,15th & K St NW,Customer
205,238432,2017-02-09 10:53:00,2017-02-09 11:04:00,652.06,Mount Vernon Ave & E Nelson Ave,King St Metro South,Subscriber
206,1323984,2017-05-29 07:01:36,2017-05-29 07:07:24,347.3880000000001,8th & Eye St SE / Barracks Row,Potomac & Pennsylvania Ave SE,Subscriber
207,908770,2017-04-21 07:04:31,2017-04-21 07:08:16,225.465,New Hampshire Ave & T St NW,14th & V St NW,Subscriber
208,790593,2017-04-12 10:10:12,2017-04-12 10:15:37,325.154,Massachusetts Ave & Dupont Circle NW,California St & Florida Ave NW,Subscriber
209,1090001,2017-05-08 06:41:10,2017-05-08 07:04:07,1377.2910000000004,17th St & Massachusetts Ave NW,Hamlin & 7th St NE,Subscriber
210,117386,2017-01-23 09:42:00,2017-01-23 10:03:00,1267.685,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,Subscriber
211,475714,2017-03-10 05:35:00,2017-03-10 05:44:00,563.081,Adams Mill & Columbia Rd NW,New Hampshire Ave & 24th St NW,Subscriber
212,1247623,2017-05-22 05:58:57,2017-05-22 06:04:45,348.81,North Capitol St & F St NW,8th & F St NW,Subscriber
213,554574,2017-03-22 17:35:00,2017-03-22 17:53:00,1121.47,16th & R St NW,M St & Delaware Ave NE,Subscriber
214,1661665,2017-06-24 09:53:15,2017-06-24 09:59:43,388.234,Temporary Rd & Old Reston Ave,Temporary Rd & Old Reston Ave,Subscriber
215,1120900,2017-05-10 11:40:11,2017-05-10 11:44:10,239.815,Potomac Ave & 8th St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
216,240221,2017-02-09 17:39:00,2017-02-09 17:48:00,558.7180000000002,Franklin & S Washington St,King St Metro North / Cameron St,Subscriber
217,943697,2017-04-25 10:05:07,2017-04-25 10:20:41,933.579,18th St & Pennsylvania Ave NW,16th & R St NW,Subscriber
218,1479464,2017-06-10 07:04:53,2017-06-10 07:38:42,2029.735,4th & M St SW,8th & F St NW,Customer
219,1234239,2017-05-21 02:39:36,2017-05-21 02:43:45,249.258,Hamlin & 7th St NE,Rhode Island Ave Metro,Subscriber
220,41952,2017-01-10 20:23:00,2017-01-10 20:27:00,267.04,3rd & H St NE,M St & Delaware Ave NE,Subscriber
221,111673,2017-01-21 19:03:00,2017-01-21 19:31:00,1682.568,10th St & Constitution Ave NW,34th & Water St NW,Subscriber
222,986782,2017-04-29 02:43:54,2017-04-29 02:55:03,668.707,14th & Harvard St NW,1st & Rhode Island Ave NW,Customer
223,9307,2017-01-03 21:47:00,2017-01-03 22:03:00,997.815,Independence Ave & L'Enfant Plaza SW/DOE,Florida Ave & R St NW,Subscriber
224,636156,2017-03-30 12:31:00,2017-03-30 12:42:00,663.153,New Hampshire Ave & T St NW,18th St & Pennsylvania Ave NW,Subscriber
225,1605777,2017-06-20 07:52:23,2017-06-20 08:08:56,993.062,New Jersey Ave & R St NW,24th & N St NW,Subscriber
226,1019509,2017-05-01 07:41:12,2017-05-01 07:50:42,569.975,California St & Florida Ave NW,24th & N St NW,Subscriber
227,573746,2017-03-24 19:34:00,2017-03-24 19:58:00,1441.797,19th St & Constitution Ave NW,10th & K St NW,Customer
228,921972,2017-04-23 02:40:52,2017-04-23 03:20:34,2381.516,Henry Bacon Dr & Lincoln Memorial Circle NW,17th St & Independence Ave SW,Customer
229,320941,2017-02-20 13:09:00,2017-02-20 13:26:00,1029.181,13th & D St NE,4th & D St NW / Judiciary Square,Customer
230,310623,2017-02-19 14:22:00,2017-02-19 14:57:00,2099.966,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
231,1581121,2017-06-18 05:47:34,2017-06-18 06:38:46,3072.286,17th & K St NW / Farragut Square,7th & E St SW,Subscriber
232,1218069,2017-05-19 12:20:17,2017-05-19 02:54:41,9263.856,19th & E Street NW,19th & E Street NW,Customer
233,1496930,2017-06-11 10:54:44,2017-06-11 11:20:22,1538.351,Georgetown Harbor / 30th St NW,17th & G St NW,Customer
234,1145920,2017-05-14 05:00:47,2017-05-14 05:17:21,994.247,Monroe Ave & Leslie Ave,S Glebe & Potomac Ave,Customer
235,1692021,2017-06-26 10:36:19,2017-06-26 10:43:57,458.001,15th & W St NW,15th & M St NW,Customer
236,934960,2017-04-24 08:44:52,2017-04-24 09:03:43,1130.811,Montgomery & East Ln,Montgomery & East Ln,Subscriber
237,52174,2017-01-12 09:47:00,2017-01-12 09:55:00,464.036,Massachusetts Ave & Dupont Circle NW,14th & R St NW,Customer
238,1451301,2017-06-08 07:18:14,2017-06-08 07:30:07,712.8889999999999,2nd & G St NE,Eckington Pl & Q St NE,Customer
239,1591204,2017-06-19 06:39:21,2017-06-19 06:53:25,844.1560000000002,11th & Kenyon St NW,22nd & P ST NW,Subscriber
240,1182683,2017-05-17 05:10:22,2017-05-17 05:30:55,1233.125,New York Ave & 15th St NW,4th & W St NE,Subscriber
241,239800,2017-02-09 17:02:00,2017-02-09 17:06:00,236.023,20th & O St NW / Dupont South,17th & Corcoran St NW,Subscriber
242,69827,2017-01-15 11:52:00,2017-01-15 12:07:00,938.201,1st & Rhode Island Ave NW,20th St & Florida Ave NW,Subscriber
243,39709,2017-01-10 15:41:00,2017-01-10 16:09:00,1704.1470000000004,Hains Point/Buckeye & Ohio Dr SW,Hains Point/Buckeye & Ohio Dr SW,Subscriber
244,81169,2017-01-17 15:11:00,2017-01-17 15:17:00,404.934,3rd St & Pennsylvania Ave SE,Lincoln Park / 13th & East Capitol St NE ,Subscriber
245,1487051,2017-06-10 12:45:46,2017-06-10 12:57:00,673.676,Park Rd & Holmead Pl NW,New Hampshire Ave & T St NW,Customer
246,1603783,2017-06-20 06:54:27,2017-06-20 07:03:56,568.946,Columbus Circle / Union Station,4th & E St SW,Subscriber
247,1379399,2017-06-02 11:57:35,2017-06-03 12:26:35,1739.547,Thomas Circle,13th & H St NE,Subscriber
248,302205,2017-02-18 17:02:00,2017-02-18 18:37:00,5684.717,10th & G St NW,N Lynn St & Fairfax Dr,Customer
249,1651194,2017-06-23 12:37:45,2017-06-23 12:43:39,354.13199999999995,Rhode Island & Connecticut Ave NW,14th & L St NW,Subscriber
250,1437974,2017-06-07 07:07:10,2017-06-07 07:15:53,522.637,14th & D St NW / Ronald Reagan Building,Lincoln Memorial,Subscriber
251,227812,2017-02-08 08:33:00,2017-02-08 08:46:00,805.311,7th & R St NW / Shaw Library,21st & M St NW,Subscriber
252,1605680,2017-06-20 07:49:57,2017-06-20 08:00:04,607.4119999999998,7th & T St NW,7th & T St NW,Customer
253,1310917,2017-05-28 06:41:50,2017-05-28 06:53:37,706.98,3rd & Tingey St SE,1st & D St SE,Customer
254,804515,2017-04-13 09:14:44,2017-04-13 09:50:29,2144.164,Commonwealth Ave & Oak St,17th St & Independence Ave SW,Subscriber
255,91952,2017-01-19 07:44:00,2017-01-19 07:54:00,575.9259999999998,Wilson Blvd & N Edgewood St,N Randolph St & Fairfax Dr,Subscriber
256,158487,2017-01-29 13:26:00,2017-01-29 13:31:00,302.094,17th & Corcoran St NW,17th & K St NW,Subscriber
257,1294921,2017-05-26 12:27:57,2017-05-26 02:08:01,6004.1190000000015,Saint Asaph & Madison St,Lincoln Memorial,Customer
258,1465676,2017-06-09 07:17:37,2017-06-09 07:33:16,939.558,22nd & P ST NW,8th & F St NW,Subscriber
259,277169,2017-02-15 15:43:00,2017-02-15 15:48:00,312.268,Saint Asaph St & Pendleton  St,Braddock Rd Metro,Subscriber
260,1296295,2017-05-27 01:46:38,2017-05-27 02:02:34,956.032,8th & H St NW,New Hampshire Ave & T St NW,Customer
261,41220,2017-01-10 18:28:00,2017-01-10 18:38:00,582.091,14th & Irving St NW,Thomas Circle,Subscriber
262,1398241,2017-06-04 04:40:41,2017-06-04 05:34:03,3201.2470000000008,37th & O St NW / Georgetown University,4th & E St SW,Customer
263,1276812,2017-05-25 04:15:58,2017-05-25 04:21:37,339.017,4th & E St SW,USDA / 12th & Independence Ave SW,Subscriber
264,10558,2017-01-04 08:09:00,2017-01-04 08:33:00,1435.858,Mount Vernon Ave & Kennedy St,Jefferson Memorial,Subscriber
265,455087,2017-03-08 10:09:00,2017-03-08 10:28:00,1135.053,Adams Mill & Columbia Rd NW,1st & M St NE,Subscriber
266,647371,2017-04-01 01:49:49,2017-04-01 02:29:51,2402.1420000000007,Lincoln Memorial,14th & D St NW / Ronald Reagan Building,Customer
267,363928,2017-02-24 15:09:00,2017-02-24 15:13:00,278.058,17th & Rhode Island Ave NW,Massachusetts Ave & Dupont Circle NW,Subscriber
268,1366596,2017-06-02 01:36:39,2017-06-02 01:42:59,379.345,11th & H St NE,Columbus Circle / Union Station,Subscriber
269,1594612,2017-06-19 08:56:01,2017-06-19 09:03:25,444.371,3rd St & Pennsylvania Ave SE,M St & Delaware Ave NE,Subscriber
270,995525,2017-04-29 10:35:32,2017-04-29 10:43:00,447.846,3rd & H St NE,13th & H St NE,Subscriber
271,1264636,2017-05-24 03:41:59,2017-05-24 04:01:17,1157.923,Columbia Pike & S Orme St,Lincoln Memorial,Customer
272,447897,2017-03-07 13:15:00,2017-03-07 13:30:00,893.0930000000002,18th & M St NW,37th & O St NW / Georgetown University,Subscriber
273,1238287,2017-05-21 06:50:36,2017-05-21 06:57:06,390.508,5th & K St NW,10th & E St NW,Subscriber
274,1556418,2017-06-16 06:18:27,2017-06-16 06:25:50,443.181,L'Enfant Plaza / 7th & C St SW,14th & D St NW / Ronald Reagan Building,Subscriber
275,1660129,2017-06-24 08:43:36,2017-06-24 08:51:35,479.272,East West Hwy & 16th St,East West Hwy & Blair Mill Rd,Customer
276,98076,2017-01-19 20:27:00,2017-01-19 20:37:00,602.137,C & O Canal & Wisconsin Ave NW,22nd & I St NW / Foggy Bottom,Customer
277,1739087,2017-06-30 02:55:58,2017-06-30 03:00:05,246.98,10th & Florida Ave NW,14th & V St NW,Subscriber
278,1430400,2017-06-06 11:11:16,2017-06-06 11:39:50,1714.625,10th & Monroe St NE,14th & R St NW,Subscriber
279,1138633,2017-05-13 10:05:24,2017-05-13 10:08:14,170.241,14th & D St SE,15th St & Massachusetts Ave SE,Subscriber
280,1494488,2017-06-11 08:28:47,2017-06-11 08:33:34,287.13,Wilson Blvd & N Edgewood St,Fairfax Dr & Kenmore St,Subscriber
281,533094,2017-03-20 14:34:00,2017-03-20 14:58:00,1444.307,New York Ave & 15th St NW,7th & F St NW/Portrait Gallery,Customer
282,1714077,2017-06-28 06:06:44,2017-06-28 06:20:29,825.461,Henry Bacon Dr & Lincoln Memorial Circle NW,Lee Hwy & N Scott St,Subscriber
283,407740,2017-03-01 18:11:00,2017-03-01 18:25:00,891.3989999999999,21st St & Pennsylvania Ave NW,5th St & Massachusetts Ave NW,Subscriber
284,1098965,2017-05-09 05:15:01,2017-05-09 05:34:21,1160.381,10th & K St NW,Potomac & Pennsylvania Ave SE,Subscriber
285,521787,2017-03-18 17:27:00,2017-03-18 17:30:00,201.276,15th & P St NW,17th & Rhode Island Ave NW,Subscriber
286,379715,2017-02-26 10:39:00,2017-02-26 10:48:00,544.617,15th & P St NW,New York Ave & 15th St NW,Subscriber
287,763171,2017-04-11 01:10:41,2017-04-11 01:30:07,1166.0739999999996,Jefferson Memorial,Lincoln Memorial,Customer
288,559337,2017-03-23 09:11:00,2017-03-23 09:23:00,704.48,Calvert St & Woodley Pl NW,21st St & Pennsylvania Ave NW,Subscriber
289,570973,2017-03-24 16:54:00,2017-03-24 17:26:00,1888.943,4th St & Madison Dr NW,Lincoln Memorial,Customer
290,1133840,2017-05-13 02:31:15,2017-05-13 02:53:46,1351.816,6th St & Indiana Ave NW,Jefferson Dr & 14th St SW,Customer
291,1208261,2017-05-19 04:56:00,2017-05-19 05:01:51,351.2390000000001,10th & K St NW,North Capitol St & F St NW,Subscriber
292,267177,2017-02-14 08:37:00,2017-02-14 08:44:00,440.396,Lee Hwy & N Adams St,Lynn & 19th St North,Subscriber
293,601066,2017-03-27 13:02:00,2017-03-27 13:45:00,2620.91,6th St & Indiana Ave NW,4th St & Madison Dr NW,Customer
294,1130836,2017-05-12 09:27:31,2017-05-12 09:33:04,332.825,8th & O St NW,10th & G St NW,Subscriber
295,77719,2017-01-16 18:39:00,2017-01-16 18:55:00,933.324,8th & O St NW,New Hampshire Ave & T St NW,Subscriber
296,1321030,2017-05-29 04:12:05,2017-05-29 04:40:06,1680.565,10th & E St NW,Jefferson Memorial,Subscriber
297,1044668,2017-05-03 07:44:49,2017-05-03 07:51:49,420.555,16th & R St NW,New Hampshire Ave & 24th St NW,Subscriber
298,628295,2017-03-29 17:39:00,2017-03-29 17:50:00,607.095,16th & K St NW,16th & K St NW,Customer
299,1377059,2017-06-02 09:22:02,2017-06-02 09:36:37,874.41,22nd & P ST NW,14th & R St NW,Subscriber
300,1310333,2017-05-28 05:56:28,2017-05-28 06:02:35,366.871,1st & D St SE,M St & New Jersey Ave SE,Subscriber
301,924133,2017-04-23 04:44:01,2017-04-23 04:47:34,213.473,D St & Maryland Ave NE,11th & H St NE,Subscriber
302,1621225,2017-06-21 08:33:58,2017-06-21 08:51:25,1047.107,14th & Irving St NW,14th St & New York Ave NW,Subscriber
303,1658817,2017-06-24 07:36:34,2017-06-24 07:49:59,804.405,Lynn & 19th St North,34th St & Wisconsin Ave NW,Subscriber
304,643168,2017-03-31 08:33:00,2017-03-31 08:46:00,762.948,14th & D St NW / Ronald Reagan Building,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Subscriber
305,429803,2017-03-04 20:27:00,2017-03-04 20:37:00,591.502,New York Ave & 15th St NW,15th & P St NW,Subscriber
306,17016,2017-01-05 07:08:00,2017-01-05 07:26:00,1058.272,Central Library / N Quincy St & 10th St N,Lincoln Memorial,Subscriber
307,1690628,2017-06-26 09:06:33,2017-06-26 09:11:19,285.476,Crystal City Metro / 18th & Bell St,27th & Crystal Dr,Subscriber
308,1575991,2017-06-17 12:18:59,2017-06-17 12:42:03,1384.189,4th & C St SW,Hains Point/Buckeye & Ohio Dr SW,Subscriber
309,167169,2017-01-31 06:13:00,2017-01-31 06:18:00,275.217,M St & Delaware Ave NE,Columbus Circle / Union Station,Subscriber
310,628507,2017-03-29 17:46:00,2017-03-29 18:03:00,1020.29,18th & R St NW,Lincoln Memorial,Subscriber
311,1113701,2017-05-10 06:17:23,2017-05-10 06:27:41,618.191,4th & M St SW,8th & D St NW,Subscriber
312,766040,2017-04-11 04:37:53,2017-04-11 04:53:39,945.893,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
313,1669143,2017-06-25 03:37:13,2017-06-25 03:51:36,863.318,4th St & Madison Dr NW,11th & O St NW,Customer
314,277185,2017-02-15 15:44:00,2017-02-15 15:54:00,581.881,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Maryland Ave & E St NE,Subscriber
315,1072603,2017-05-06 08:45:23,2017-05-06 09:19:46,2063.165,New Hampshire Ave & 24th St NW,11th & Kenyon St NW,Subscriber
316,648459,2017-04-01 02:53:46,2017-04-01 03:00:42,416.44,Thomas Circle,21st St & Pennsylvania Ave NW,Subscriber
317,1205211,2017-05-19 01:04:58,2017-05-19 01:20:29,930.982,17th St & Independence Ave SW,Lincoln Memorial,Customer
318,1094321,2017-05-08 10:03:06,2017-05-08 10:20:42,1056.149,Georgia & New Hampshire Ave NW,14th & R St NW,Subscriber
319,1402515,2017-06-04 09:16:54,2017-06-04 09:36:26,1171.22,Columbia & Ontario Rd NW,US Dept of State / Virginia Ave & 21st St NW,Customer
320,1370769,2017-06-02 05:40:16,2017-06-02 05:49:38,562.232,Reston Town Center Transit Station,Reston Station,Subscriber
321,531154,2017-03-20 09:25:00,2017-03-20 10:04:00,2302.829,22nd & P ST NW,16th & Irving St NW,Customer
322,106485,2017-01-21 10:25:00,2017-01-21 11:04:00,2324.446,16th & Irving St NW,10th St & L'Enfant Plaza SW,Subscriber
323,1200958,2017-05-18 08:09:57,2017-05-18 08:21:52,714.824,Ward Circle / American University,Connecticut & Nebraska Ave NW,Subscriber
324,1315995,2017-05-28 11:57:16,2017-05-29 12:09:26,730.26,8th & F St NW,22nd & P ST NW,Subscriber
325,288547,2017-02-17 09:04:00,2017-02-17 09:25:00,1270.063,3rd & G St SE,New York Ave & 15th St NW,Customer
326,1279221,2017-05-25 08:05:23,2017-05-25 08:13:08,465.503,Braddock Rd Metro,Madison & Fairfax St,Customer
327,932497,2017-04-24 06:17:33,2017-04-24 06:29:41,728.794,21st St & Pennsylvania Ave NW,5th & K St NW,Subscriber
328,437852,2017-03-06 11:12:00,2017-03-06 11:17:00,273.319,Eastern Market Metro / Pennsylvania Ave & 7th St SE,3rd & G St SE,Subscriber
329,976590,2017-04-28 06:37:44,2017-04-28 07:26:01,2897.1220000000008,3rd St & Pennsylvania Ave SE,20th & E St NW,Customer
330,1260800,2017-05-23 09:01:33,2017-05-23 09:07:22,348.64,S Joyce & 16th St S,Crystal City Metro / 18th & Bell St,Subscriber
331,200497,2017-02-04 16:26:00,2017-02-04 16:38:00,717.812,14th St Heights / 14th & Crittenden St NW,Park Rd & Holmead Pl NW,Subscriber
332,541331,2017-03-21 10:29:00,2017-03-21 10:40:00,683.66,24th & N St NW,14th & Rhode Island Ave NW,Subscriber
333,1718497,2017-06-28 08:14:02,2017-06-28 08:21:47,464.512,10th & G St NW,15th & K St NW,Customer
334,1269763,2017-05-24 07:31:42,2017-05-24 07:47:43,961.29,Lincoln Park / 13th & East Capitol St NE ,Independence Ave & L'Enfant Plaza SW/DOE,Subscriber
335,897971,2017-04-20 07:49:00,2017-04-20 07:54:36,335.506,New Hampshire Ave & T St NW,24th & N St NW,Subscriber
336,109337,2017-01-21 15:12:00,2017-01-21 15:22:00,552.929,8th & East Capitol St NE,3rd & G St SE,Subscriber
337,65244,2017-01-13 18:07:00,2017-01-13 18:27:00,1187.018,L'Enfant Plaza / 7th & C St SW,15th & East Capitol St NE,Subscriber
338,282144,2017-02-16 08:52:00,2017-02-16 09:00:00,477.426,18th & R St NW,11th & O St NW,Subscriber
339,187599,2017-02-02 16:32:00,2017-02-02 16:38:00,361.635,17th & Rhode Island Ave NW,21st & I St NW,Subscriber
340,1570198,2017-06-17 07:13:01,2017-06-17 07:49:09,2168.424,Columbia Rd & Belmont St NW,Lincoln Memorial,Customer
341,369827,2017-02-24 21:21:00,2017-02-24 21:41:00,1231.747,14th & G St NW,North Capitol St & F St NW,Customer
342,51451,2017-01-12 08:43:00,2017-01-12 08:50:00,455.279,17th & K St NW,14th & Rhode Island Ave NW,Subscriber
343,1384051,2017-06-03 04:06:56,2017-06-03 04:23:52,1016.835,11th & Kenyon St NW,17th & K St NW / Farragut Square,Subscriber
344,1740807,2017-06-30 04:45:28,2017-06-30 05:09:46,1458.307,River Rd & Landy Ln,River Rd & Landy Ln,Subscriber
345,1179477,2017-05-16 12:12:01,2017-05-16 02:43:49,9107.897,Lincoln Memorial,S Joyce & Army Navy Dr,Customer
346,663965,2017-04-02 06:17:58,2017-04-02 06:44:50,1612.3429999999996,Jefferson Memorial,12th & L St NW,Subscriber
347,25444,2017-01-06 13:14:00,2017-01-06 13:16:00,138.248,Florida Ave & R St NW,New Jersey Ave & R St NW,Subscriber
348,929504,2017-04-23 11:49:19,2017-04-23 11:51:42,142.741,14th & Irving St NW,11th & Kenyon St NW,Subscriber
349,963502,2017-04-27 07:16:34,2017-04-27 07:34:53,1098.968,Lynn & 19th St North,22nd & I St NW / Foggy Bottom,Subscriber
350,818403,2017-04-14 08:16:41,2017-04-14 08:34:24,1062.78,8th & D St NW,12th & U St NW,Subscriber
351,902353,2017-04-21 01:25:33,2017-04-21 01:51:49,1576.006,22nd St & Constitution Ave NW,20th & E St NW,Customer
352,473396,2017-03-09 18:37:00,2017-03-09 18:48:00,685.19,Georgia & New Hampshire Ave NW,Adams Mill & Columbia Rd NW,Subscriber
353,1248362,2017-05-22 06:29:51,2017-05-22 06:32:58,186.975,Eastern Market Metro / Pennsylvania Ave & 7th St SE,8th & East Capitol St NE,Subscriber
354,1580839,2017-06-18 05:27:03,2017-06-18 05:46:55,1191.669,8th & O St NW,24th & N St NW,Subscriber
355,28066,2017-01-06 20:13:00,2017-01-06 20:19:00,332.7030000000001,Duke St & John Carlyle St,Eisenhower Ave & Mill Race Ln,Subscriber
356,415792,2017-03-02 17:36:00,2017-03-02 17:43:00,395.663,12th & U St NW,15th & P St NW,Subscriber
357,118393,2017-01-23 18:02:00,2017-01-23 18:17:00,866.3660000000001,1st & M St NE,4th & E St SW,Subscriber
358,1210867,2017-05-19 06:42:12,2017-05-19 06:44:11,118.642,15th & L St NW,17th & K St NW,Subscriber
359,1050140,2017-05-04 01:23:53,2017-05-04 01:40:00,966.934,Braddock Rd Metro,S Glebe & Potomac Ave,Subscriber
360,1464172,2017-06-09 06:15:51,2017-06-09 06:39:09,1398.253,17th St & Independence Ave SW,Columbus Circle / Union Station,Subscriber
361,253342,2017-02-11 18:39:00,2017-02-11 18:53:00,836.888,Washington & Independence Ave SW/HHS,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
362,696427,2017-04-05 04:12:38,2017-04-05 04:32:34,1196.236,Georgia Ave and Fairmont St NW,New York Ave & 15th St NW,Subscriber
363,691575,2017-04-04 09:02:36,2017-04-04 09:05:19,162.89700000000005,17th St & Massachusetts Ave NW,17th & K St NW,Subscriber
364,1089977,2017-05-08 06:40:19,2017-05-08 07:04:29,1449.5020000000004,Henry Bacon Dr & Lincoln Memorial Circle NW,10th & G St NW,Customer
365,1120744,2017-05-10 11:23:13,2017-05-10 11:33:59,646.312,New Jersey Ave & R St NW,New Hampshire Ave & T St NW,Subscriber
366,222900,2017-02-07 17:55:00,2017-02-07 18:03:00,532.789,Calvert St & Woodley Pl NW,Park Rd & Holmead Pl NW,Subscriber
367,53262,2017-01-12 13:24:00,2017-01-12 13:57:00,2026.644,Jefferson Dr & 14th St SW,L'Enfant Plaza / 7th & C St SW,Customer
368,1714858,2017-06-28 06:29:08,2017-06-28 06:35:02,353.631,11th & Girard St NW,Park Rd & Holmead Pl NW,Subscriber
369,1011157,2017-04-30 11:59:40,2017-04-30 12:13:18,817.378,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Customer
370,1278962,2017-05-25 07:39:19,2017-05-25 07:46:41,442.437,20th St & Florida Ave NW,18th & M St NW,Subscriber
371,386189,2017-02-27 08:11:00,2017-02-27 08:27:00,960.173,15th & W St NW,20th St & Virginia Ave NW,Subscriber
372,430563,2017-03-05 08:45:00,2017-03-05 09:06:00,1262.842,S Joyce & Army Navy Dr,Washington Blvd & Walter Reed Dr ,Subscriber
373,581292,2017-03-25 13:42:00,2017-03-25 13:51:00,513.222,5th & K St NW,10th & E St NW,Customer
374,343322,2017-02-22 18:08:00,2017-02-22 18:26:00,1034.686,19th & K St NW,8th & H St NW,Customer
375,183342,2017-02-02 06:52:00,2017-02-02 07:05:00,793.185,4th & M St SW,New York Ave & 15th St NW,Subscriber
376,1447638,2017-06-08 05:22:28,2017-06-08 05:46:41,1452.82,4th & C St SW,Jefferson Memorial,Customer
377,997489,2017-04-29 11:54:59,2017-04-29 12:57:06,3727.212,8th & O St NW,4th & M St SW,Customer
378,823078,2017-04-14 12:11:13,2017-04-14 12:18:02,408.447,Thomas Circle,7th & T St NW,Subscriber
379,300880,2017-02-18 15:55:00,2017-02-18 16:04:00,591.872,Market Square / King St & Royal St,King St Metro South,Customer
380,888118,2017-04-19 10:12:45,2017-04-19 11:06:18,3212.073,Ballenger Ave & Dulaney St,Potomac & M St NW,Subscriber
381,542487,2017-03-21 13:44:00,2017-03-21 13:53:00,549.488,9th & Upshur St NW,7th & T St NW,Subscriber
382,809584,2017-04-14 02:28:21,2017-04-14 02:49:45,1284.582,11th & O St NW,North Capitol St & F St NW,Subscriber
383,772007,2017-04-11 07:45:41,2017-04-11 08:23:29,2267.873,25th St & Pennsylvania Ave NW,Eastern Market / 7th & North Carolina Ave SE,Subscriber
384,1112591,2017-05-10 05:42:40,2017-05-10 05:53:36,655.3580000000002,3rd & Elm St NW,18th & R St NW,Subscriber
385,1314896,2017-05-28 11:07:51,2017-05-28 11:12:27,276.139,Lincoln Park / 13th & East Capitol St NE ,13th & H St NE,Subscriber
386,1338056,2017-05-30 08:40:01,2017-05-30 08:52:39,757.283,Iwo Jima Memorial/N Meade & 14th St N,17th St & Independence Ave SW,Subscriber
387,1013693,2017-05-01 02:56:52,2017-05-01 02:59:22,150.07,22nd & I St NW / Foggy Bottom,21st & M St NW,Subscriber
388,196534,2017-02-03 19:14:00,2017-02-03 19:18:00,283.9170000000001,Calvert St & Woodley Pl NW,18th St & Wyoming Ave NW,Subscriber
389,500337,2017-03-15 09:21:00,2017-03-15 09:48:00,1650.611,Park Rd & Holmead Pl NW,17th & G St NW,Subscriber
390,710210,2017-04-06 06:33:56,2017-04-06 06:35:27,91.137,Columbus Circle / Union Station,2nd & G St NE,Subscriber
391,396405,2017-02-28 10:01:00,2017-02-28 10:16:00,848.575,Columbus Circle / Union Station,Jefferson Dr & 14th St SW,Subscriber
392,393656,2017-02-28 06:50:00,2017-02-28 07:01:00,671.691,L'Enfant Plaza / 7th & C St SW,New York Ave & 15th St NW,Subscriber
393,1491709,2017-06-11 05:18:53,2017-06-11 05:31:35,762.6039999999998,USDA / 12th & Independence Ave SW,Jefferson Memorial,Customer
394,1508678,2017-06-12 08:59:07,2017-06-12 09:16:11,1024.28,17th St & Independence Ave SW,4th & C St SW,Customer
395,685438,2017-04-04 05:35:22,2017-04-04 05:39:53,270.835,7th & R St NW / Shaw Library,1st & Rhode Island Ave NW,Subscriber
396,1092752,2017-05-08 08:28:43,2017-05-08 08:45:03,979.647,17th St & Massachusetts Ave NW,4th & D St NW / Judiciary Square,Subscriber
397,1184971,2017-05-17 06:27:02,2017-05-17 06:40:56,834.047,Columbus Circle / Union Station,3rd & Tingey St SE,Subscriber
398,1441761,2017-06-07 09:12:20,2017-06-07 09:27:38,918.025,Park Rd & Holmead Pl NW,1st & O St NW,Subscriber
399,409236,2017-03-01 20:17:00,2017-03-01 20:31:00,876.3710000000002,3rd & Tingey St SE,3rd & H St NE,Customer
400,1212266,2017-05-19 07:34:47,2017-05-19 07:47:53,785.7439999999998,Jefferson Memorial,15th & L St NW,Subscriber
401,594529,2017-03-26 14:03:00,2017-03-26 14:23:00,1151.394,14th & G St NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Customer
402,1180662,2017-05-17 02:26:25,2017-05-17 02:33:04,398.726,19th & K St NW,22nd St & Constitution Ave NW,Subscriber
403,1202977,2017-05-18 09:42:51,2017-05-18 09:48:18,327.254,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22nd St & Constitution Ave NW,Subscriber
404,983873,2017-04-28 12:10:20,2017-04-28 12:18:20,479.464,6th St & Indiana Ave NW,New York Ave & 15th St NW,Subscriber
405,1075071,2017-05-07 01:13:51,2017-05-07 01:18:44,292.956,3rd & D St SE,1st & K St SE,Subscriber
